frequency_rank,character,pinyin,definition,radical,radical_code,stroke_count,hsk_level,general_standard_num
1,的,de,"possessive, adjectival suffix",白,106.3,8,1,1155
2,一,yī,"one; a, an; alone",一,1.0,1,1,0001
3,是,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that",日,72.5,9,1,1479
4,不,bù,"no, not; un-; negative prefix",一,1.3,4,1,0091
5,了,le,to finish; particle of completed action,亅,6.1,2,1,0017
6,在,zài,"be at, in, on; consist in, rest",土,32.3,6,1,0388
7,人,rén,man; people; mankind; someone else,人,9.0,2,1,0010
8,有,yǒu,"have, own, possess; exist",月,74.2,6,1,0390
9,我,wǒ,"our, us, i, me, my, we",戈,62.3,7,1,0761
10,他,tā,"other, another; he, she, it",人,9.3,5,1,0277
11,这,zhè,"this, the, here",辵,162.4,7,1,0837
12,个,gè,"numerary adjunct, piece; single",丨,2.2,3,1,0045
13,们,men,adjunct pronoun indicate plural,人,9.3,5,1,0273
14,中,zhōng,"central; center, middle; in the midst of; hit (target); attain",丨,2.3,4,1,0113
15,来,lái,"come, coming; return, returning",木,75.3,7,1,0707
16,上,shàng,"top; superior, highest; go up, send up",一,1.2,3,1,0036
17,大,dà,"big, great, vast, large, high",大,37.0,3,1,0032
18,为,wèi,"do, handle, govern, act; be",丶,3.3,4,2,0165
19,和,hé,"harmony, peace; peaceful, calm",口,30.5,8,1,1131
20,国,guó,"nation, country, nation-state",囗,31.5,8,1,1081
21,地,de,"earth; soil, ground; region",土,32.3,6,3,0366
22,到,dào,"go to, arrive, been to",刀,18.6,8,2,1063
23,以,yǐ,"by means of; thereby, therefore; consider as; in order to",人,9.3,4,2,0182
24,说,shuō,"speak, say, talk; scold, upbraid",言,149.7,9,1,1717
25,时,shí,"time, season; era, age, period",日,72.3,7,1,0717
26,要,yào,"necessary, essential; necessity",襾,146.3,9,2,1441
27,就,jiù,"just, simply; to come, go to; to approach, near",尢,43.9,12,2,2728
28,出,chū,"go out, send out; stand; produce",凵,17.3,5,1,0330
29,会,huì,"assemble, meet together; meeting",人,9.4,6,1,0486
30,可,kě,"may, can, -able; possibly",口,30.2,5,2,0212
31,也,yě,also; classical final particle of strong affirmation or identity,乙,5.2,3,2,0066
32,你,nǐ,"you, second person pronoun",人,9.5,7,1,0782
33,对,duì,"correct, right; facing, opposed",寸,41.2,5,1,0341
34,生,shēng,"life, living, lifetime; birth",生,100.0,5,1,0263
35,能,néng,"to be able; can, permitted to; ability",肉,130.6,10,1,2146
36,而,ér,and; and then; and yet; but,而,126.0,6,3,0392
37,子,zi,"offspring, child; fruit, seed of; 1st terrestrial branch",子,39.0,3,1,0064
38,那,nà,"that, that one, those",邑,163.4,6,1,0564
39,得,dé,"obtain, get, gain, acquire",彳,60.8,11,2,2341
40,于,yú,"in, on, at; go to; surname",二,7.1,3,3,0024
41,着,zhe,"make move, take action",目,109.6,11,2,2398
42,下,xià,"under, underneath, below; down; inferior; bring down",一,1.2,3,1,0030
43,自,zì,"self, private, personal; from",自,132.0,6,3,0477
44,之,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",丿,4.3,3,4,0058
45,年,nián,,干,51.3,6,1,0444
46,过,guò,"pass, pass through, go across",辵,162.3,6,2,0379
47,发,fā,"issue, dispatch, send out; hair",又,29.3,5,3,0339
48,后,hòu,"queen, empress, sovereign; (simp. for ",口,30.3,6,1,0482
49,作,zuò,"make; work; compose, write; act, perform",人,9.5,7,1,0777
50,里,lǐ,unit of distance; village; lane,里,166.0,7,1,0721
51,用,yòng,"use, employ, apply, operate; use",用,101.0,5,3,0283
52,道,dào,"path, road, street; method, way",辵,162.9,12,2,2745
53,行,xíng,"go; walk; move, travel; circulate",行,144.0,6,3,0483
54,所,suǒ,"place, location; numerary adjunct",戶,63.4,8,2,1164
55,然,rán,"yes, certainly; pledge, promise",火,86.8,12,2,2723
56,家,jiā,"house, home, residence; family",宀,40.7,10,1,2099
57,种,zhǒng,"seed; race, breed; to plant",禾,115.4,9,3,1549
58,事,shì,"affair, matter, business; to serve; accident, incident",亅,6.7,8,2,1038
59,成,chéng,"completed, finished, fixed",戈,62.3,6,3,0401
60,方,fāng,"a square, rectangle; a region; local",方,70.0,4,3,0163
61,多,duō,"much, many; more than, over",夕,36.3,6,1,0507
62,经,jīng,classic works; pass through,糸,120.5,8,2,1350
63,么,me,interrogative particle; repetition of a tune small; tender,丿,4.2,3,1,0048
64,去,qù,"go away, leave, depart",厶,28.3,5,1,0204
65,法,fǎ,"law, rule, regulation, statute; France, French",水,85.5,8,3,1241
66,学,xué,"learning, knowledge; school",子,39.5,8,1,1273
67,如,rú,"if, supposing; as if; like, as",女,38.3,6,3,0578
68,都,dōu,"metropolis, capital; all, the whole; elegant, refined",邑,163.9,10,1,1801
69,同,tóng,"same, similar; together with",口,30.3,6,1,0427
70,现,xiàn,"appear, manifest, become visible",玉,96.4,8,1,0949
71,当,dāng,"bear, accept, undertake; just",小,42.3,6,3,0418
72,没,méi,"not, have not, none; drown, sink",水,85.4,7,1,0867
73,动,dòng,"move, happen; movement, action",力,19.4,6,2,0353
74,面,miàn,"face; surface; plane; side, dimension",面,176.0,9,1,1455
75,起,qǐ,"rise, stand up; go up; begin",走,156.3,10,1,1789
76,看,kàn,"look, see; examine, scrutinize",目,109.4,9,1,1539
77,定,dìng,"decide, settle, fix",宀,40.5,8,3,1276
78,天,tiān,"sky, heaven; god, celestial",大,37.1,4,1,0078
79,分,fēn,divide; small unit of time etc.,刀,18.2,4,1,0146
80,还,hái,"still, yet, also, besides",辵,162.4,7,2,0704
81,进,jìn,"advance, make progress, enter",辵,162.4,7,2,0605
82,好,hǎo,"good, excellent, fine; well",女,38.3,6,1,0581
83,小,xiǎo,"small, tiny, insignificant",小,42.0,3,1,0037
84,部,bù,"part, division, section",邑,163.8,10,4,2044
85,其,qí,"his, her, its, their; that",八,12.6,8,3,0996
86,些,xiē,"little, few; rather, somewhat",二,7.5,8,1,1069
87,主,zhǔ,"master, chief owner; host; lord",丶,3.4,5,3,0300
88,样,yàng,"shape, form, pattern, style",木,75.6,10,1,1849
89,理,lǐ,"reason, logic; manage",玉,96.7,11,3,2157
90,心,xīn,"heart; mind, intelligence; soul",心,61.0,4,3,0174
91,她,tā,"she, her",女,38.3,6,1,0582
92,本,běn,"root, origin, source; basis",木,75.1,5,1,0210
93,前,qián,"in front, forward; preceding",刀,18.7,9,1,1650
94,开,kāi,"open; initiate, begin, start",廾,55.1,4,1,0076
95,但,dàn,"only; but, however, yet, still",人,9.5,7,2,0774
96,因,yīn,"cause, reason; by; because (of)",囗,31.3,6,2,0430
97,只,zhǐ,"only, just, simply",口,30.2,5,3,0246
98,从,cóng,"from, by, since, whence, through",人,9.2,4,2,0142
99,想,xiǎng,"think, speculate, plan, consider",心,61.9,13,1,2867
100,实,shí,"real, true; honest, sincere",宀,40.5,8,3,1285